"id","url","created_by","created_at","terms","term_count","answered","answered_by","answer_terms","answer_term_count","posters","poster_count","posts_count","views","like_count"
"13029","https://forum.knime.com/t/how-to-read-a-specific-cell-out-of-a-table/13029","JuLa","2018-12-26T19:03","read, specif, cell, out, tabl, togeth, more, excel, file, extract, two, header, reader, xls, add, string, everi, row, see, attach, similar, structur, shown, loop, java, snippet, find, solut, both, fit, readingstringshead, somebodi, proper, rgen",34,"no",,,0,"JuLa, izaychik63",2,2,8,1
"13028","https://forum.knime.com/t/bug-when-using-a-remote-desktop-clicking-on-the-pen-to-edit-annotation-makes-knime-window-drawing-crash/13028","yannick_carbonneaux","2018-12-26T12:57","bug, remot, desktop, click, pen, edit, annot, make, window, draw, crash, build, th, decemb, through, becom, unrespons, imposs, further, action, close, cannot, save",23,"no",,,0,"quaeler, yannick_carbonneaux",2,4,13,1
"13027","https://forum.knime.com/t/display-centroid-in-clustering-plots/13027","Enigma2018","2018-12-25T21:45","display, centroid, cluster, plot, point, each, scatter, advanc, enigma",9,"no",,,0,"Enigma2018",1,1,10,0
"13026","https://forum.knime.com/t/knime-3-7-hangs-in-windows-10/13026","awoon","2018-12-25T13:05","hang, window, issu, log, work, flow, group, loop, run, onc, befor, end, follow, alloc, ram, file, size, mb, task, manag, process, memori, separ, bigger, entir, cannot, trick, employ, abov, expert, fix",31,"no",,,0,"quaeler, awoon",2,4,27,0
"13025","https://forum.knime.com/t/count-variable-as-dependent-variable/13025","eleBen","2018-12-24T20:29","count, variabl, depend, rather, machin, learn, appli, algorithm, certain, dataset, univeristi, cours, such, report, death, usa, specifi, sex, size, citi, resid, age, rang, caus, column, name, indic, mani, instanc, featur, each, row, repres, bunch, peopl, same, live, die, reason, train, model, group, becaus, suicid, beacus, accid, fact, given, creat, dychotom, thus, race, independ, ask, naiv, bay, learner, either, weka, simpli, continuo, suggest, right, perform, much",65,"no",,,0,"armingrudd, mlauber71, eleBen",3,8,22,0
"13022","https://forum.knime.com/t/whether-does-knime-support-multi-features-machine-learning/13022","picoman","2018-12-24T17:41","whether, support, multi, featur, machin, learn, gurus, found, singl, variabl, linear, regress, learner, function, limit, product, enterpris, environ",18,"no",,,0,"picoman, mlauber71",2,2,12,0
"13021","https://forum.knime.com/t/find-similar-rows/13021","malik","2018-12-24T16:09","find, similar, row, pool, out, tabl, should, malik",8,"no",,,0,"armingrudd, mlauber71, malik",3,8,32,8
"13020","https://forum.knime.com/t/replacing-missing-value-in-column/13020","mahendragkumar","2018-12-24T15:54","replac, miss, valu, column, pre, defin, text, two, binari, viz, mani, cell, blank, advanc",14,"no",,,0,"mlauber71, mahendragkumar",2,3,11,1
"13019","https://forum.knime.com/t/execute-failed-uri-can-not-be-built/13019","svalmorri","2018-12-24T14:26","execut, fail, uri, built, build, read, data, rest, servic, url, follow, format, sql, request, complain, encod, stop, return, error, messag, abov, understand, wrong, becaus, same, web, browser, valid, row",29,"no",,,0,"svalmorri",1,1,13,0
"13018","https://forum.knime.com/t/finding-and-replacing-duplicate-values-in-multiple-columns/13018","cason","2018-12-24T13:33","find, replac, duplic, valu, multipl, column, interest, bit, difficult, task, ahead, sever, data, set, id, col, blank, write, function, first, each, row, up, tabl, plus, check, insert, caus, should, same, list, again, without, creat, advanc",35,"no",,,0,"cason, armingrudd",2,4,20,1
"13017","https://forum.knime.com/t/beginner-string-to-date-question/13017","Blas","2018-12-24T09:09","beginn, string, date, come, formula, excel, long, realli, learn, har, power, gone, through, most, modul, abl, track, down, figur, out, own, csv, work, pull, data, where, format, mm, dd, yyyi, read, case, month, day, singl, digit, made, convert, difficult, facilit, java, snippet, level, beyond, point, advanc",46,"no",,,0,"SimonS, Iris, Blas",3,4,20,1
"13014","https://forum.knime.com/t/group-by-timerange/13014","Enigma2018","2018-12-24T05:07","group, timerang, data, datetim, column, each, second, calcul, rang, speed, vehicl, max, min, cluster, behaviour, driver, mean, rpm, egin, result, realli, clear, advanc",23,"yes","armingrudd","guess, window, loop, start, over, chunk, base, date, time, column, find, rang, math, formula, col, max, min, function, label, each, exampl, iter, number",23,"armingrudd, Enigma2018",2,7,26,4
"13012","https://forum.knime.com/t/json-or-xml-parsing-problem-help-for-editing/13012","umutcankurt","2018-12-24T00:22","json, xml, pars, edit, appendix, sourc, novic, itali",8,"no",,,0,"umutcankurt, mlauber71",2,6,19,1
"13010","https://forum.knime.com/t/product-recommendations-association-rule-learner-issue/13010","cason","2018-12-23T15:40","product, recommend, associ, rule, learner, issu, recreat, better, skill, exampl, sampl, data, set, learn, attach, also, creat, import, group, invoiceno, aggreg, list, featur, each, transact, borgelt, execut, give, error, messag, generat, blank, tabl, chang, previous, test, knar",37,"yes","mlauber71","minimum, support, chang, set, lower, affect, rule, realli, general, read",10,"cason, mlauber71",2,3,14,1
"13009","https://forum.knime.com/t/group-similar-identical-rows-of-table/13009","malik","2018-12-23T14:19","group, similar, ident, row, tabl, one, malik",7,"no",,,0,"mlauber71, malik",2,2,16,0
"13006","https://forum.knime.com/t/predicting-sales-best-algorithm-to-start-in-a-simple-way/13006","Coco2806","2018-12-22T23:59","predict, sale, algorithm, start, simpl, first, mode, real, purchas, data, year, ago, possibl, product, more, feed, model, keep, attempt, organ, client, id, variabl, countri, employe, quantiti, quarter, type, column, indic, revenu, sell, name, productb, each, target, buyer, recommend, return, end, measur, perform, made, polunomi, regress, roc, curv, learn, one",49,"no",,,0,"Coco2806",1,1,18,0
"13005","https://forum.knime.com/t/combine-multiple-xml-files-how-to-do-knime/13005","umutcankurt","2018-12-22T12:57","combin, multipl, xml, file, merg, pictur, should, method, extract, content",10,"no",,,0,"armingrudd, umutcankurt, mlauber71",3,15,31,15
"13002","https://forum.knime.com/t/start-a-node-before-previous-has-finished/13002","pigreco","2018-12-21T15:01","start, befor, previous, finish, year, understand, wait, execut, exampl, certain, case, read, lot, data, tabl, db, reader, take, time, next, his, process, tha, partial, anoth, solut, advanc",27,"no",,,0,"ipazin, pigreco",2,2,21,2
"13001","https://forum.knime.com/t/split-collection-column-node/13001","tanvi","2018-12-21T14:26","split, collect, column, renam",4,"no",,,0,"SimonS, Aswin, tanvi",3,6,52,3
"13000","https://forum.knime.com/t/fhir-requests/13000","mateenraj","2018-12-21T12:21","fhir, request, specif, approach, queri, resourc, day, loinc, webservic, via, respons, bodi, complet, direct",14,"no",,,0,"mateenraj, Iris",2,2,25,0
